State Code,State,Year Code,Month Code,Deaths
47,Tennessee,2011,2011/11,50
47,Tennessee,2011,2011/12,52
47,Tennessee,2012,2012/01,58
47,Tennessee,2012,2012/02,52
47,Tennessee,2012,2012/03,56
47,Tennessee,2012,2012/04,45
47,Tennessee,2012,2012/05,63
47,Tennessee,2012,2012/06,68
47,Tennessee,2012,2012/07,45
47,Tennessee,2012,2012/08,40
47,Tennessee,2012,2012/09,42
47,Tennessee,2012,2012/10,64
47,Tennessee,2012,2012/11,49
47,Tennessee,2012,2012/12,46
47,Tennessee,2013,2013/01,66
47,Tennessee,2013,2013/02,57
47,Tennessee,2013,2013/03,59
47,Tennessee,2013,2013/04,60
47,Tennessee,2013,2013/05,66
47,Tennessee,2013,2013/06,58
47,Tennessee,2013,2013/07,70
47,Tennessee,2013,2013/08,41
47,Tennessee,2013,2013/09,56
47,Tennessee,2013,2013/10,54
47,Tennessee,2013,2013/11,45
47,Tennessee,2013,2013/12,47
47,Tennessee,2014,2014/01,51
47,Tennessee,2014,2014/02,51
47,Tennessee,2014,2014/03,65
47,Tennessee,2014,2014/04,59
47,Tennessee,2014,2014/05,51
47,Tennessee,2014,2014/06,44
47,Tennessee,2014,2014/07,57
47,Tennessee,2014,2014/08,53
47,Tennessee,2014,2014/09,58
47,Tennessee,2014,2014/10,50
47,Tennessee,2014,2014/11,59
47,Tennessee,2014,2014/12,46
47,Tennessee,2015,2015/01,53
47,Tennessee,2015,2015/02,51
47,Tennessee,2015,2015/03,56
47,Tennessee,2015,2015/04,59
47,Tennessee,2015,2015/05,61
47,Tennessee,2015,2015/06,55
47,Tennessee,2015,2015/07,54
47,Tennessee,2015,2015/08,52
47,Tennessee,2015,2015/09,47
47,Tennessee,2015,2015/10,52
47,Tennessee,2015,2015/11,53
47,Tennessee,2015,2015/12,45
47,Tennessee,2016,2016/01,50
47,Tennessee,2016,2016/02,55
47,Tennessee,2016,2016/03,64
47,Tennessee,2016,2016/04,69
47,Tennessee,2016,2016/05,63
47,Tennessee,2016,2016/06,64
47,Tennessee,2016,2016/07,60
47,Tennessee,2016,2016/08,50
47,Tennessee,2016,2016/09,44
47,Tennessee,2016,2016/10,50
47,Tennessee,2016,2016/11,50
47,Tennessee,2016,2016/12,56
48,Texas,1999,1999/01,115
48,Texas,1999,1999/02,108
48,Texas,1999,1999/03,109
48,Texas,1999,1999/04,112
48,Texas,1999,1999/05,99
48,Texas,1999,1999/06,101
48,Texas,1999,1999/07,111
48,Texas,1999,1999/08,102
48,Texas,1999,1999/09,97
48,Texas,1999,1999/10,109
48,Texas,1999,1999/11,81
48,Texas,1999,1999/12,86
